obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""641.0322""","=""0.0012""","=""641.032+""","=""2500""","=""""",,"=""74672.32""","=""90267.85""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<2>).6d""","=""2[4]""","=""7/2""",,"=""""","=""L351""",
"=""648.3562""","=""0.0012""","=""648.356+""","=""1800""","=""""",,"=""75009.13""","=""90428.50""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""4s2.4p4.(3P<2>).6d""","=""2[0]""","=""1/2""",,"=""""","=""L351""",
"=""651.4620""","=""0.0012""","=""651.464+""","=""1000""","=""""",,"=""75009.13""","=""90354.93""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""4s2.4p4.(3P<2>).6d""","=""2[2]""","=""5/2""",,"=""""","=""L351""",
"=""654.4571""","=""0.0012""","=""654.456+""","=""20000""","=""""",,"=""74672.32""","=""89947.97""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<2>).6d""","=""2[3]""","=""5/2""",,"=""""","=""L351""",
"=""654.8091""","=""0.0012""","=""654.809+""","=""1500""","=""""",,"=""75521.50""","=""90788.90""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""4s2.4p4.(3P<2>).8s""","=""2[2]""","=""5/2""",,"=""""","=""L351""",
"=""655.9799""","=""0.0018""","=""655.978+""","=""50000c""","=""7.0e-03""",C,"=""63436.45""","=""78676.65""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""3/2""",,"=""T6936n,T9382""","=""L351""",
"=""657.1312""","=""0.0012""","=""657.131+""","=""1000""","=""""",,"=""76743.08""","=""91956.55""","=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""3/2""","=""4s2.4p4.(3P<2>).7d""","=""2[2]""","=""5/2""",,"=""""","=""L351""",
"=""657.9139""","=""0.0012""","=""657.913+""","=""1800""","=""""",,"=""74672.32""","=""89867.69""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<2>).6d""","=""2[1]""","=""3/2""",,"=""""","=""L351""",
"=""658.2171""","=""0.0012""","=""658.216+""","=""20000""","=""""",,"=""74672.32""","=""89860.70""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<2>).6d""","=""2[3]""","=""7/2""",,"=""""","=""L351""",
"=""662.0469""","=""0.0012""","=""662.047+""","=""1500""","=""""",,"=""75697.05""","=""90797.55""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""4s2.4p4.(3P<2>).8s""","=""2[2]""","=""3/2""",,"=""""","=""L351""",
"=""663.1619""","=""0.0018""","=""663.160+""","=""50000c""","=""7.0e-03""",C,"=""63436.45""","=""78511.60""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""5/2""",,"=""T6936n,T9382""","=""L351""",
"=""668.2281""","=""0.0012""","=""668.227+""","=""20000""","=""""",,"=""64907.19""","=""79868.03""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<0>).5p""","=""2[1]*""","=""1/2""",,"=""""","=""L351""",
"=""669.2130""","=""0.0013""","=""669.211+""","=""10000""","=""""",,"=""75009.13""","=""89947.97""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""4s2.4p4.(3P<2>).6d""","=""2[3]""","=""5/2""",,"=""""","=""L351""",
"=""672.8279""","=""0.0013""","=""672.827+""","=""8000""","=""""",,"=""75009.13""","=""89867.69""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""4s2.4p4.(3P<2>).6d""","=""2[1]""","=""3/2""",,"=""""","=""L351""",
"=""676.0058""","=""0.0013""","=""676.005+""","=""2000""","=""""",,"=""64907.19""","=""79695.89""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<0>).5p""","=""2[1]*""","=""3/2""",,"=""""","=""L351""",
"=""677.9482""","=""0.0013""","=""677.947+""","=""2000""","=""""",,"=""75521.50""","=""90267.85""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""4s2.4p4.(3P<2>).6d""","=""2[4]""","=""7/2""",,"=""""","=""L351""",
"=""678.6740""","=""0.0013""","=""678.672+""","=""2200""","=""""",,"=""75697.05""","=""90427.64""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""4s2.4p4.(3P<1>).5d""","=""2[3]""","=""7/2""",,"=""""","=""L351""",
"=""679.0040""","=""0.0013""","=""679.004+""","=""6500""","=""""",,"=""75521.50""","=""90244.89""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""4s2.4p4.(3P<2>).6d""","=""2[4]""","=""9/2""",,"=""""","=""L351""",
"=""679.1479""","=""0.0018""","=""679.148+""","=""1600c""","=""""",,"=""75009.13""","=""89729.40""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""4s2.4p4.(3P<2>).6d""","=""2[1]""","=""1/2""",,"=""""","=""L351""",
"=""686.1148""","=""0.0013""","=""686.115+""","=""1800""","=""""",,"=""75697.05""","=""90267.85""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""4s2.4p4.(3P<2>).6d""","=""2[4]""","=""7/2""",,"=""""","=""L351""",
