obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""362.384""","=""362.38490+""","=""1""","=""""",,"=""80916.7680""","=""108503.871""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
"=""362.691""","=""362.68887+""","=""2""","=""""",,"=""80916.7680""","=""108480.751""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""362.81571""","=""362.815540+""","=""10""","=""""",,"=""80916.7680""","=""108471.1277""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L4054""",
"=""363.24896""","=""363.248842+""","=""4""","=""9.7e-05""",C,"=""80916.7680""","=""108438.2603""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",,"=""T3952n,T3408,T7199""","=""L7350""",
"=""366.53254""","=""366.53244+""","=""80""","=""2.33e-02""",C,"=""79971.7417""","=""107246.688""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",,"=""T4229n,T7199,T3378""","=""L4054""",
"=""366.87365""","=""366.87350+""","=""10""","=""""",,"=""79971.7417""","=""107221.333""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",,"=""""","=""L4054""",
"=""367.95609""","=""367.95597+""","=""100*""","=""""",,"=""79971.7417""","=""107141.171""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""",,"=""""","=""L7350""",
"=""367.96111""","=""367.96099+""","=""100*""","=""""",,"=""79971.7417""","=""107140.800""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""",,"=""""","=""L7350""",
"=""369.80452""","=""369.80439+""","=""6""","=""""",,"=""79971.7417""","=""107005.371""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",,"=""""","=""L7350""",
"=""372.728""","=""372.728+""","=""""","=""""",,"=""85846.7046""","=""112668.3""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).7p""","=""2[1/2]""","=""0""",,"=""""","=""L7266""",
"=""373.1320""","=""373.13215+""","=""*""","=""""",,"=""85846.7046""","=""112639.242""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).20f""","=""2[3/2]""","=""1""",,"=""""","=""L7266""",
"=""373.1320""","=""373.12603+""","=""*""","=""""",,"=""85846.7046""","=""112639.682""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).20f""","=""2[5/2]""","=""2""",,"=""""","=""L7266""",
"=""373.1320""","=""373.13142+""","=""*""","=""""",,"=""85846.7046""","=""112639.295""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).20f""","=""2[3/2]""","=""2""",,"=""""","=""L7266""",
"=""373.5447""","=""373.54022+""","=""*""","=""""",,"=""85846.7046""","=""112609.974""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).19f""","=""2[5/2]""","=""2""",,"=""""","=""L7266""",
"=""373.5447""","=""373.54602+""","=""*""","=""""",,"=""85846.7046""","=""112609.558""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).19f""","=""2[3/2]""","=""2""",,"=""""","=""L7266""",
"=""373.5447""","=""373.54715+""","=""*""","=""""",,"=""85846.7046""","=""112609.477""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).19f""","=""2[3/2]""","=""1""",,"=""""","=""L7266""",
"=""374.0276""","=""374.02646+""","=""*""","=""""",,"=""85846.7046""","=""112575.182""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).18f""","=""2[5/2]""","=""2""",,"=""""","=""L7266""",
"=""374.0276""","=""374.03423+""","=""*""","=""""",,"=""85846.7046""","=""112574.627""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).18f""","=""2[3/2]""","=""1""",,"=""""","=""L7266""",
"=""374.0276""","=""374.03148+""","=""*""","=""""",,"=""85846.7046""","=""112574.823""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).18f""","=""2[3/2]""","=""2""",,"=""""","=""L7266""",
