obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""374.0789""","=""0.0005""","=""374.0787""","=""0.0003""","=""2800""","=""""",,"=""60352.6584""","=""87077.402""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.6p""","=""3P""","=""0""",,"=""""","=""L17684""",
"=""374.1443""","=""0.0005""","=""374.14415""","=""0.00017""","=""6300""","=""""",,"=""60393.1693""","=""87113.239""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.6p""","=""3P""","=""2""",,"=""""","=""L17684""",
"=""374.2851""","=""0.0005""","=""374.28570""","=""0.00020""","=""4200""","=""""",,"=""60393.1693""","=""87103.134""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.6p""","=""3P""","=""1""",,"=""""","=""L17684""",
"=""375.5121""","=""0.0005""","=""375.5122""","=""0.0003""","=""5600""","=""""",,"=""60333.4476""","=""86956.176""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.6p""","=""3D""","=""1""",,"=""""","=""L17684""",
"=""375.6522""","=""0.0005""","=""375.65177""","=""0.00021""","=""6800""","=""""",,"=""60352.6584""","=""86965.494""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.6p""","=""3D""","=""2""",,"=""""","=""L17684""",
"=""375.7048""","=""0.0005""","=""375.70394""","=""0.00025""","=""9600""","=""""",,"=""60393.1693""","=""87002.31""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.6p""","=""3D""","=""3""",,"=""""","=""L17684""",
"=""375.7836""","=""0.0005""","=""375.7833""","=""0.0003""","=""4200""","=""""",,"=""60352.6584""","=""86956.176""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.6p""","=""3D""","=""1""",,"=""""","=""L17684""",
"=""376.2251""","=""0.0005""","=""376.22449""","=""0.00021""","=""6800""","=""""",,"=""60393.1693""","=""86965.494""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.6p""","=""3D""","=""2""",,"=""""","=""L17684""",
"=""376.3956""","=""0.0005""","=""376.3958""","=""0.0003""","=""2800""","=""""",,"=""60352.6584""","=""86912.89""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.6p""","=""1P""","=""1""",,"=""""","=""L17684""",
"=""379.3678""","=""0.0005""","=""379.3678""","=""0.0004""","=""5100""","=""""",,"=""61981.83211""","=""88333.99""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.7p""","=""1S""","=""0""",,"=""""","=""L17684""",
"=""380.4305""","=""0.0005""","=""380.4305""","=""0.0004""","=""5100""","=""""",,"=""61981.83211""","=""88260.38""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.7p""","=""1D""","=""2""",,"=""""","=""L17684""",
"=""382.8849""","=""0.0005""","=""382.8839""","=""0.0003""","=""4200""","=""""",,"=""61981.83211""","=""88092.00""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.7p""","=""3D""","=""1""",,"=""""","=""L17684""",
"=""383.3347""","=""0.0005""","=""383.3341""","=""0.0004""","=""7300""","=""""",,"=""61981.83211""","=""88061.34""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.7p""","=""1P""","=""1""",,"=""""","=""L17684""",
"=""394.2223""","=""0.0005""","=""394.2223""","=""0.0005""","=""7900""","=""""",,"=""61981.83211""","=""87341.05""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.6p""","=""1S""","=""0""",,"=""""","=""L17684""",
"=""396.1403""","=""0.0005""","=""396.14027""","=""0.00009""","=""7900""","=""""",,"=""61981.83211""","=""87218.275""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.6p""","=""1D""","=""2""",,"=""""","=""L17684""",
"=""398.6879""","=""0.0010""","=""398.6880""","=""0.0014""","=""2600*""","=""""",,"=""64086.96961""","=""89162.15""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).8f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
"=""398.6879""","=""0.0010""","=""398.6880""","=""0.0014""","=""2600*""","=""""",,"=""64086.96961""","=""89162.15""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).8f""","=""2[7/2]""","=""4""",,"=""""","=""L17684""",
"=""399.6488""","=""0.0010""","=""399.6487""","=""0.0014""","=""1700*""","=""""",,"=""64086.96961""","=""89101.87""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<1/2>).8f""","=""2[7/2]""","=""4""",,"=""""","=""L17684""",
"=""399.6488""","=""0.0010""","=""399.6487""","=""0.0014""","=""1700*""","=""""",,"=""64086.96961""","=""89101.87""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<1/2>).8f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
"=""399.6966""","=""0.0005""","=""399.6965""","=""0.0005""","=""1700""","=""""",,"=""64089.8990""","=""89101.81""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*<1/2>).8f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""399.7136""","=""0.0010""","=""399.7137""","=""0.0014""","=""1700*""","=""""",,"=""64090.99351""","=""89101.83""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<1/2>).8f""","=""2[5/2]""","=""3""",,"=""""","=""L17684""",
"=""399.7136""","=""0.0010""","=""399.7140""","=""0.0005""","=""1700*""","=""""",,"=""64090.99351""","=""89101.81""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<1/2>).8f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""400.2976""","=""0.0005""","=""400.2977""","=""0.0003""","=""5300""","=""""",,"=""61981.83211""","=""86956.176""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.6p""","=""3D""","=""1""",,"=""""","=""L17684""",
"=""400.9930""","=""0.0005""","=""400.9928""","=""0.0004""","=""13000""","=""""",,"=""61981.83211""","=""86912.89""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.6p""","=""1P""","=""1""",,"=""""","=""L17684""",
"=""402.2115""","=""0.0005""","=""402.211452""","=""0.000010""","=""6700""","=""""",,"=""60333.4476""","=""85188.9670""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.5p""","=""3P""","=""1""",,"=""""","=""L17684""",
"=""402.2841""","=""0.0005""","=""402.284321""","=""0.000007""","=""9700""","=""""",,"=""60352.6584""","=""85203.6756""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.5p""","=""3P""","=""2""",,"=""""","=""L17684""",
"=""402.5221""","=""0.0005""","=""402.522568""","=""0.000008""","=""4500""","=""""",,"=""60352.6584""","=""85188.9670""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.5p""","=""3P""","=""1""",,"=""""","=""L17684""",
"=""402.8355""","=""0.0005""","=""402.8357""","=""0.0005""","=""6700""","=""""",,"=""60352.6584""","=""85169.66""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.5p""","=""3P""","=""0""",,"=""""","=""L17684""",
"=""402.9413""","=""0.0005""","=""402.941190""","=""0.000007""","=""16000""","=""""",,"=""60393.1693""","=""85203.6756""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.5p""","=""3P""","=""2""",,"=""""","=""L17684""",
"=""403.1795""","=""0.0005""","=""403.180216""","=""0.000008""","=""10000""","=""""",,"=""60393.1693""","=""85188.9670""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.5p""","=""3P""","=""1""",,"=""""","=""L17684""",
"=""403.3228""","=""0.0005""","=""403.3228""","=""0.0005""","=""1800""","=""""",,"=""64086.96961""","=""88874.00""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).8p""","=""2[3/2]""","=""2""",,"=""""","=""L17684""",
