obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""359.101""","=""0.003""","=""359.0992""","=""0.0018""","=""""","=""""",,"=""54068.6829""","=""81908.20""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.10d""","=""3D""","=""2""",,"=""""","=""L7591""",
"=""359.148""","=""0.020""","=""359.153""","=""0.003""","=""1""","=""""",,"=""54068.6829""","=""81904.0""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.10d""","=""3D""","=""1""",,"=""""","=""L7587c86""",
"=""359.274""","=""0.003""","=""359.2748""","=""0.0019""","=""""","=""""",,"=""54068.6829""","=""81894.59""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.10d""","=""1D""","=""2""",,"=""""","=""L7591""",
"=""365.01580""","=""0.00010""","=""365.01579""","=""0.00009""","=""9000""","=""1.29e+00""",B+,"=""44042.909""","=""71431.180""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.6d""","=""3D""","=""3""",,"=""T5292""","=""L7247""",
"=""365.48420""","=""0.00010""","=""365.48429""","=""0.00007""","=""3000""","=""1.84e-01""",B,"=""44042.909""","=""71396.073""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.6d""","=""3D""","=""2""",,"=""T5292""","=""L7247""",
"=""366.28870""","=""0.00010""","=""366.28869""","=""0.00008""","=""500""","=""3.6e-02""",C,"=""44042.909""","=""71336.005""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.6d""","=""3D""","=""1""",,"=""T3447""","=""L7247""",
"=""366.32840""","=""0.00010""","=""366.32831""","=""0.00007""","=""2000""","=""""",,"=""44042.909""","=""71333.053""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.6d""","=""1D""","=""2""",,"=""""","=""L7247""",
"=""368.0211""","=""0.0014""","=""368.02427""","=""0.00012""","=""""","=""""",,"=""44042.909""","=""71207.296""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.7p""","=""3P*""","=""2""",E2,"=""""","=""L12931,L4742""",
"=""369.779""","=""0.013""","=""369.754""","=""0.005""","=""0""","=""""",,"=""54068.6829""","=""81106.0""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.7f""","=""1F*""","=""3""",E2,"=""""","=""L7589c86""",
"=""370.1442""","=""0.0020""","=""370.1448""","=""0.0016""","=""50""","=""""",,"=""54068.6829""","=""81077.45""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9d""","=""3D""","=""2""",,"=""""","=""L7593""",
"=""370.236""","=""0.010""","=""370.2338""","=""0.0007""","=""1""","=""""",,"=""54068.6829""","=""81070.96""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9d""","=""3D""","=""1""",,"=""""","=""L15160c86""",
"=""370.41655""","=""0.00010""","=""370.41655""","=""0.00010""","=""9""","=""""",,"=""54068.6829""","=""81057.637""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9d""","=""1D""","=""2""",,"=""""","=""L3451""",
"=""379.000""","=""0.004""","=""379.001""","=""0.003""","=""80""","=""""",,"=""70932.2""","=""97309.84""","=""5d9.6s2.(2D<5/2>).6p""","=""2[7/2]*""","=""3""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L4742,L1310c86""",
"=""380.16583""","=""0.00010""","=""380.16582""","=""0.00010""","=""50""","=""""",,"=""54068.6829""","=""80365.528""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.10s""","=""1S""","=""0""",,"=""""","=""L3451""",
"=""381.58""","=""0.02""","=""381.5815""","=""0.0003""","=""1""","=""""",,"=""54068.6829""","=""80267.97""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.10s""","=""3S""","=""1""",,"=""""","=""L7587c86""",
"=""382.040""","=""0.004""","=""382.037""","=""0.003""","=""50""","=""""",,"=""70932.2""","=""97100.23""","=""5d9.6s2.(2D<5/2>).6p""","=""2[7/2]*""","=""3""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L4742,L1310c86""",
"=""386.085""","=""0.004""","=""386.0963""","=""0.0024""","=""30""","=""""",,"=""71207.296""","=""97100.23""","=""5d10.6s.7p""","=""3P*""","=""2""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L4742,L1310c86""",
