obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""538.4626""","=""0.0005""","=""538.4627""","=""0.0005""","=""50""","=""""",,"=""62350.325""","=""80916.551""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.10p""","=""3P*""","=""1""",,"=""""","=""L3499""",
"=""538.8810""","=""0.0005""","=""538.8810""","=""0.0005""","=""""","=""""",,"=""62350.325""","=""80902.139""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.10p""","=""3P*""","=""0""",,"=""""","=""L3499""",
"=""539.3468""","=""0.0005""","=""539.3465""","=""0.0004""","=""""","=""""",,"=""63928.120""","=""82463.923""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.12p""","=""1P*""","=""1""",,"=""""","=""L3499""",
"=""540.480""","=""0.010""","=""540.483""","=""0.006""","=""3""","=""""",,"=""78813.02""","=""97309.84""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""1""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L1310c86""",
"=""546.07500""","=""0.00010""","=""546.07498""","=""0.00009""","=""6000""","=""4.9e-01""",B,"=""44042.909""","=""62350.325""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.7s""","=""3S""","=""1""",,"=""T5292""","=""L7247""",
"=""554.9634""","=""0.0005""","=""554.9636""","=""0.0004""","=""50""","=""""",,"=""63928.120""","=""81942.318""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.11p""","=""1P*""","=""1""",,"=""""","=""L3499""",
"=""567.581""","=""0.008""","=""567.588""","=""0.004""","=""600""","=""""",,"=""62350.325""","=""79963.85""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.9p""","=""1P*""","=""1""",,"=""""","=""L7588""",
"=""576.96100""","=""0.00010""","=""576.96095""","=""0.00010""","=""1000""","=""2.36e-01""",B,"=""54068.6829""","=""71396.073""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.6d""","=""3D""","=""2""",,"=""T5292""","=""L7247""",
"=""578.969""","=""0.005""","=""578.96805""","=""0.00023""","=""30""","=""6.e-03""",D,"=""54068.6829""","=""71336.005""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.6d""","=""3D""","=""1""",,"=""T3447""","=""L15226""",
"=""579.06700""","=""0.00010""","=""579.06705""","=""0.00010""","=""900""","=""3.1e-01""",D,"=""54068.6829""","=""71333.053""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.6d""","=""1D""","=""2""",,"=""T3462""","=""L7247""",
"=""580.3782""","=""0.0005""","=""580.3783""","=""0.0004""","=""400""","=""""",,"=""63928.120""","=""81153.485""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.10p""","=""1P*""","=""1""",,"=""""","=""L3499""",
"=""581.830""","=""0.010""","=""581.832""","=""0.007""","=""2""","=""""",,"=""80127.5""","=""97309.84""","=""5d9.6s2.(2D<5/2>).6p""","=""2[5/2]*""","=""3""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L1310c86""",
"=""585.9254""","=""0.0005""","=""585.9254""","=""0.0005""","=""130""","=""""",,"=""62350.325""","=""79412.615""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.9p""","=""3P*""","=""1""",,"=""""","=""L3499""",
"=""587.1975""","=""0.0005""","=""587.1975""","=""0.0005""","=""30""","=""""",,"=""62350.325""","=""79375.652""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.9p""","=""3P*""","=""0""",,"=""""","=""L3499""",
"=""589.020""","=""0.010""","=""589.017""","=""0.007""","=""12""","=""""",,"=""80127.5""","=""97100.23""","=""5d9.6s2.(2D<5/2>).6p""","=""2[5/2]*""","=""3""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L1310c86""",
"=""607.264""","=""0.010""","=""607.266""","=""0.006""","=""30""","=""6.e-04""",E,"=""62350.325""","=""78813.02""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""1""",,"=""T3462""","=""L7394""",
"=""612.327""","=""0.005""","=""612.325""","=""0.005""","=""3""","=""""",,"=""62350.325""","=""78677.01""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d9.6s2.(2D<5/2>).6p""","=""2[5/2]*""","=""2""",,"=""""","=""L15190c86""",
"=""623.436""","=""0.010""","=""623.435""","=""0.005""","=""50""","=""3.0e-03""",D,"=""63928.120""","=""79963.85""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.9p""","=""1P*""","=""1""",,"=""T3462""","=""L7394,L7589""",
"=""670.16""","=""0.03""","=""670.210""","=""0.013""","=""2""","=""""",,"=""68886.43""","=""83803.0""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.20d""","=""3D""","=""3""",,"=""""","=""L7590c86""",
"=""671.634""","=""0.010""","=""671.636""","=""0.007""","=""600""","=""2.4e-03""",D,"=""63928.120""","=""78813.02""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""1""",,"=""T3462""","=""L7394""",
"=""672.11""","=""0.03""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7590c86""",
"=""672.52""","=""0.03""","=""672.478""","=""0.014""","=""1""","=""""",,"=""68886.43""","=""83752.7""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.19d""","=""3D""","=""3""",,"=""""","=""L7590c86""",
"=""674.10""","=""0.03""","=""674.160""","=""0.014""","=""0""","=""""",,"=""68886.43""","=""83715.6""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.20s""","=""3S""","=""1""",,"=""""","=""L7590c86""",
"=""674.71""","=""0.03""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7590c86""",
"=""675.09""","=""0.03""","=""675.139""","=""0.018""","=""2""","=""""",,"=""68886.43""","=""83694.1""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.18d""","=""3D""","=""3""",,"=""""","=""L7590c86""",
"=""677.32""","=""0.03""","=""677.257""","=""0.014""","=""1""","=""""",,"=""68886.43""","=""83647.8""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.19s""","=""3S""","=""1""",,"=""""","=""L7590c86""",
"=""678.46""","=""0.03""","=""678.516""","=""0.014""","=""4""","=""""",,"=""68886.43""","=""83620.4""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.17d""","=""3D""","=""3""",,"=""""","=""L7590c86""",
"=""681.16""","=""0.03""","=""681.128""","=""0.014""","=""2""","=""""",,"=""68886.43""","=""83563.9""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.18s""","=""3S""","=""1""",,"=""""","=""L7590c86""",
"=""682.70""","=""0.03""","=""682.715""","=""0.019""","=""5""","=""""",,"=""68886.43""","=""83529.8""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.16d""","=""3D""","=""3""",,"=""""","=""L7590c86""",
"=""685.29""","=""0.03""","=""""","=""""","=""0""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7590c86""",
"=""686.10""","=""0.03""","=""686.046""","=""0.014""","=""3""","=""""",,"=""68886.43""","=""83458.7""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.17s""","=""3S""","=""1""",,"=""""","=""L7590c86""",
"=""687.07""","=""0.03""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7590c86""",
"=""688.04""","=""0.03""","=""688.081""","=""0.014""","=""4""","=""""",,"=""68886.43""","=""83415.6""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.15d""","=""3D""","=""3""",,"=""""","=""L7590c86""",
"=""688.8564""","=""0.0005""","=""688.8563""","=""0.0003""","=""""","=""""",,"=""62350.325""","=""76863.137""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.8p""","=""1P*""","=""1""",,"=""""","=""L3499""",
"=""690.746""","=""0.011""","=""690.746""","=""0.004""","=""1000""","=""1.6e-02""",D,"=""62350.325""","=""76823.43""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.8p""","=""3P*""","=""2""",,"=""T3462""","=""L7394""",
"=""691.56""","=""0.03""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7590c86""",
"=""692.43""","=""0.03""","=""692.413""","=""0.010""","=""3""","=""""",,"=""68886.43""","=""83324.7""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.16s""","=""3S""","=""1""",,"=""""","=""L7590c86""",
"=""693.40""","=""0.03""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7590c86""",
"=""694.41""","=""0.03""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7590c86""",
"=""695.07""","=""0.03""","=""695.085""","=""0.015""","=""5""","=""""",,"=""68886.43""","=""83269.2""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.14d""","=""3D""","=""3""",,"=""""","=""L7590c86""",
"=""697.72""","=""0.03""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7590""",
