obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""599.528""","=""""","=""80""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3760""",
"=""604.623""","=""604.6233""","=""160""","=""1.05e-02""",C+,"=""88630.587""","=""105165.232""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(4S*).6s""","=""3S*""","=""1""",,"=""T5713LS""","=""L3760""",
"=""604.644""","=""604.6438""","=""190""","=""1.75e-02""",C+,"=""88631.146""","=""105165.232""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).6s""","=""3S*""","=""1""",,"=""T5713LS""","=""L3760""",
"=""604.649""","=""604.6495""","=""110""","=""3.50e-03""",C+,"=""88631.303""","=""105165.232""","=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""2s2.2p3.(4S*).6s""","=""3S*""","=""1""",,"=""T5713LS""","=""L3760""",
"=""610.627""","=""610.6265+""","=""100""","=""""",,"=""113294.816""","=""129666.907""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","=""2s2.2p3.(2D*<5/2>).4d""","=""3F*""","=""4""",,"=""""","=""L3760""",
"=""""","=""614.0582""","=""""","=""9.62e-06""",C,"=""86627.778""","=""102908.374""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""",,"=""T5803""","=""""",
"=""""","=""615.5961""","=""""","=""7.62e-02""",B+,"=""86625.757""","=""102865.679""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""0""",,"=""T5803,LS""","=""""",
"=""615.598""","=""615.5971""","=""400""","=""5.72e-02""",B+,"=""86625.757""","=""102865.655""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""1""",,"=""T5803,LS""","=""L3760""",
"=""""","=""615.5989""","=""""","=""2.67e-02""",B+,"=""86625.757""","=""102865.606""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""2""",,"=""T5803,LS""","=""""",
"=""""","=""615.6737""","=""""","=""1.91e-02""",B+,"=""86627.778""","=""102865.655""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""1""",,"=""T5803,LS""","=""""",
"=""""","=""615.6755""","=""""","=""4.45e-02""",B+,"=""86627.778""","=""102865.606""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""2""",,"=""T5803,LS""","=""""",
"=""615.677""","=""615.6778""","=""450""","=""5.08e-02""",B+,"=""86627.778""","=""102865.547""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""3""",,"=""T5803,LS""","=""L3760""",
"=""""","=""615.8149""","=""""","=""5.07e-03""",B+,"=""86631.454""","=""102865.606""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""2""",,"=""T5803,LS""","=""""",
"=""""","=""615.8172""","=""""","=""2.54e-02""",B+,"=""86631.454""","=""102865.547""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""3""",,"=""T5803,LS""","=""""",
"=""615.818""","=""615.8187""","=""490""","=""7.62e-02""",B+,"=""86631.454""","=""102865.506""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""4""",,"=""T5803,LS""","=""L3760""",
"=""625.683""","=""625.6833+""","=""80""","=""""",,"=""113721.413""","=""129699.521""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*<3/2>).4d""","=""1G*""","=""4""",,"=""""","=""L3760""",
