obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""409.505""","=""""","=""8.05e-04""",C+,"=""96787.680""","=""121200.5""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s.2p4""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""409.994""","=""409.9943""","=""140""","=""3.48e-02""",C+,"=""86137.350""","=""110521.050""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6340""","=""L3513""",
"=""""","=""410.790""","=""""","=""1.23e-02""",C+,"=""96864.050""","=""121200.5""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s.2p4""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""410.995""","=""410.9949""","=""185""","=""3.90e-02""",C+,"=""86220.510""","=""110544.850""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""T6340""","=""L3513""",
"=""""","=""411.3974""","=""""","=""6.62e-03""",C+,"=""86220.510""","=""110521.050""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6340""","=""""",
"=""""","=""413.7640""","=""""","=""2.80e-03""",C+,"=""83284.070""","=""107445.622""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4S*""","=""3/2""",,"=""T5475""","=""""",
"=""""","=""414.3430""","=""""","=""6.09e-03""",C+,"=""83317.830""","=""107445.622""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4S*""","=""3/2""",,"=""T5475""","=""""",
"=""""","=""415.1481""","=""""","=""1.01e-02""",C+,"=""83364.620""","=""107445.622""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4S*""","=""3/2""",,"=""T5475""","=""""",
"=""""","=""424.987""","=""""","=""2.59e-02""",C,"=""96787.680""","=""120311.2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
"=""""","=""425.016""","=""""","=""2.24e-03""",C,"=""96787.680""","=""120309.6""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""426.400""","=""""","=""2.26e-02""",C,"=""96864.050""","=""120309.6""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""427.328""","=""""","=""8.28e-03""",C+,"=""97805.840""","=""121200.5""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s.2p4""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""""","=""427.813""","=""""","=""5.01e-02""",C+,"=""96787.680""","=""120155.8""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""427.917""","=""""","=""3.61e-03""",C+,"=""96787.680""","=""120150.1""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""""","=""429.216""","=""""","=""5.57e-03""",C+,"=""96864.050""","=""120155.8""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""429.321""","=""""","=""5.21e-02""",C+,"=""96864.050""","=""120150.1""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""""","=""435.629""","=""""","=""5.10e-02""",C+,"=""96864.050""","=""119812.9""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",,"=""T5714""","=""""",
"=""""","=""438.554""","=""""","=""8.84e-03""",C,"=""97770.180""","=""120566.0""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
