obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""652.6782""","=""""","=""2.74e-10""",D,"=""77.115""","=""15394.370""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1S""","=""0""",M1,"=""c22,T4209""","=""""",
"=""652.7199""","=""""","=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""655.388""","=""""","=""1.1e-03""",E,"=""48102.323""","=""63356.24""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.7d""","=""1D*""","=""2""",,"=""T6066c4,LS""","=""""",
"=""655.5462""","=""655.5463""","=""45""","=""6.9e-03""",D,"=""48264.292""","=""63514.533""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.7d""","=""3F*""","=""4""",,"=""T6066c4,LS""","=""L3521""",
"=""""","=""656.057""","=""""","=""6.0e-03""",D,"=""48102.323""","=""63340.70""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.7d""","=""3F*""","=""3""",,"=""T6066c4,LS""","=""""",
"=""""","=""658.9611""","=""""","=""7.75e-12""",D,"=""223.157""","=""15394.370""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1S""","=""0""",E2,"=""c22,T4209""","=""""",
"=""""","=""662.422""","=""""","=""2.9e-05""",E,"=""48264.292""","=""63356.24""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.7d""","=""1D*""","=""2""",,"=""T6066c4,LS""","=""""",
"=""""","=""663.105""","=""""","=""7.3e-04""",E,"=""48264.292""","=""63340.70""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.7d""","=""3F*""","=""3""",,"=""T6066c4,LS""","=""""",
"=""672.1853""","=""672.1848""","=""100""","=""3.4e-02""",D,"=""47284.061""","=""62156.816""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.6d""","=""1D*""","=""2""",,"=""T1619CA""","=""L3521""",
"=""674.164""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""684.8568""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""697.6523""","=""697.651""","=""80""","=""3.26e-02""",D,"=""48020.074""","=""62349.93""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.6d""","=""3F*""","=""2""",,"=""T6066LS""","=""L3521""",
