obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""544.122+""","=""""","=""1.63e-03""",E,"=""63446.065""","=""81819.20""","=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""3s2.3p3.(4S*).10s""","=""5S*""","=""2""",,"=""T7952""","=""""",
"=""544.441""","=""544.450""","=""1""","=""2.70e-03""",D,"=""63457.142""","=""81819.20""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).10s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""544.982""","=""544.981""","=""1""","=""3.77e-03""",D,"=""63475.051""","=""81819.20""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).10s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""549.818""","=""549.819""","=""2""","=""""",,"=""63446.065""","=""81628.83""","=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""3s2.3p3.(4S*).8d""","=""5D*""","=""2""",,"=""""","=""L7427""",
"=""550.154""","=""550.154""","=""3""","=""""",,"=""63457.142""","=""81628.83""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).8d""","=""5D*""","=""3""",,"=""""","=""L7427""",
"=""550.701""","=""550.700""","=""4""","=""1.78e-02""",D+,"=""63475.051""","=""81628.70""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).8d""","=""5D*""","=""4""",,"=""T7952""","=""L7427""",
"=""560.524""","=""560.524""","=""1""","=""2.45e-03""",D,"=""63446.065""","=""81281.56""","=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""3s2.3p3.(4S*).9s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""560.869""","=""560.872""","=""1""","=""4.07e-03""",D,"=""63457.142""","=""81281.56""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).9s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""561.439""","=""561.437""","=""1""","=""5.67e-03""",D,"=""63475.051""","=""81281.56""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).9s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""569.663""","=""569.664""","=""2""","=""""",,"=""63446.065""","=""80995.41""","=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""3s2.3p3.(4S*).7d""","=""5D*""","=""2""",,"=""""","=""L7427""",
"=""570.024""","=""570.024""","=""4""","=""""",,"=""63457.142""","=""80995.41""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).7d""","=""5D*""","=""3""",,"=""""","=""L7427""",
"=""570.611""","=""570.610""","=""6""","=""2.69e-02""",D+,"=""63475.051""","=""80995.28""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).7d""","=""5D*""","=""4""",,"=""T7952""","=""L7427""",
"=""""","=""572.438+""","=""""","=""2.27e-03""",E,"=""64888.964""","=""82353.25""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).10d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""""","=""572.468+""","=""""","=""4.01e-03""",D,"=""64888.964""","=""82352.35""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).10d""","=""3D*""","=""2""",,"=""T7952""","=""""",
"=""""","=""572.518+""","=""""","=""3.01e-03""",E,"=""64891.386""","=""82353.25""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).10d""","=""3D*""","=""1""",,"=""T7952""","=""""",
