obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""614.976""","=""0.003""","=""614.974+""","=""800""","=""1.90e-03""",C,"=""102680.44""","=""118936.80""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""621.087""","=""0.003""","=""621.084+""","=""400""","=""9.2e-04""",C,"=""102840.38""","=""118936.80""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""623.9651""","=""0.0002""","=""623.965+""","=""13000""","=""2.90e-01""",C+,"=""102405.71""","=""118427.82""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""634.8508""","=""0.0002""","=""634.851+""","=""10000""","=""2.32e-01""",C+,"=""102680.44""","=""118427.82""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""641.3651""","=""0.0002""","=""641.365+""","=""8000""","=""1.36e-01""",C+,"=""102840.38""","=""118427.82""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""646.350""","=""0.003""","=""646.350+""","=""700""","=""3.97e-04""",C,"=""102405.71""","=""117872.92""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""656.9694""","=""0.0002""","=""656.969+""","=""450""","=""3.86e-03""",C+,"=""102405.71""","=""117622.92""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""",,"=""T7043""","=""L7481""",
"=""658.0389""","=""0.0002""","=""658.039+""","=""300""","=""2.51e-03""",C+,"=""102680.44""","=""117872.92""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""665.0405""","=""0.0002""","=""665.040+""","=""400""","=""3.49e-03""",C+,"=""102840.38""","=""117872.92""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""669.0481""","=""0.0002""","=""669.048+""","=""1800""","=""1.46e-02""",C,"=""102680.44""","=""117622.92""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""",,"=""T7043""","=""L7481""",
"=""670.8282""","=""0.0002""","=""670.827+""","=""400""","=""1.09e-02""",C+,"=""102405.71""","=""117308.56""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""677.3984""","=""0.0002""","=""677.398+""","=""7000""","=""9.6e-02""",C+,"=""102405.71""","=""117164.01""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""",,"=""T7043""","=""L7481""",
"=""679.5528""","=""0.0002""","=""679.552+""","=""1500""","=""5.89e-02""",C+,"=""102680.44""","=""117391.95""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""",,"=""T7043""","=""L7481""",
"=""683.4264""","=""0.0002""","=""683.426+""","=""9000""","=""2.18e-01""",C+,"=""102680.44""","=""117308.56""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""685.6030""","=""0.0002""","=""685.603+""","=""50000""","=""4.87e-01""",C+,"=""102405.71""","=""116987.39""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""",,"=""T7043""","=""L7481""",
"=""687.0215""","=""0.0002""","=""687.022+""","=""8000""","=""4.01e-01""",C+,"=""102840.38""","=""117391.95""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""",,"=""T7043""","=""L7481""",
"=""690.2475""","=""0.0002""","=""690.247+""","=""15000""","=""3.51e-01""",C+,"=""102680.44""","=""117164.01""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""",,"=""T7043""","=""L7481""",
"=""690.9816""","=""0.0002""","=""690.981+""","=""6000""","=""2.07e-01""",C+,"=""102840.38""","=""117308.56""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""",,"=""T7043""","=""L7481""",
"=""696.6349""","=""0.0002""","=""696.635+""","=""4000""","=""6.6e-02""",C,"=""104731.05""","=""119081.82""","=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""1/2""",,"=""T7043""","=""L7481""",
